message ID,message,ingroup_cohesion_manual,positionality,"Explicit comparison to an animal, machine or non-human substance",Moral disgust or indifference,Extreme negative evaluation,Denial of prosocial values and communality,Deindividuated entitative perception,Denial of agency,Dehumanising_outgroup,Confidence,Dehumanising_other,Dehumanising_other_target
272491,"Китай и Россия могут образовать мощный альянс двух авторитарных режимов, заявил глава европейской дипломатии Жозеп Боррель. 

«Совместное заявление Китая и России, которое Запад не особо заметил за ситуацией на Украине, может стать основанием для мощного альянса двух авторитарных режимов», — сказал Боррель.

Он добавил, что сейчас Москва и Пекин «противостоят демократии в качестве авторитарных, а не коммунистических режимов», как это было во время холодной войны.",0,russia,0,0,0,0,0,0,0,3,,
223766,"2-3 млрд долл. теряет Украина ежемесячно из-за информации о вторжении России, - заявил заместитель главы Офиса президента Украины Шурма.",0,russia,0,0,0,0,0,0,0,3,,
188148,Около 3 миллионов украинских беженцев покинули Украину с начала военных действий России,0,russia,0,0,0,0,0,0,0,3,,
658776,"‼️ Украинская и российская делегации прибыли во дворец Долмабахче для переговоров

Президент Турции поприветствовал участников встречи и заявил, что продление конфликта между Украиной и РФ никому не выгодно.

Подписаться / Прислать новость",0,ukraine_russian,0,0,0,0,0,0,0,3,,
83590,"🇺🇸🇺🇦 В Ирпени погиб американский журналист Брент Рено, у которого при себе было удостоверение издания The New York Times. Украинские ресурсы уже поспешили обвинить в его смерти российские войска, но при детальном рассмотрении всплывает несколько характерных деталей:

🔹 Один из выживших в инциденте сообщил, что в шею Рено попала пуля. Огнестрельный характер смертельного ранения подтверждает другой свидетель-полицейский. Это подтверждает, что журналист погиб не от шального артиллерийского снаряда, а был застрелен с близкого расстояния.

🔹 По словам полицейского, эпизод произошёл на круговом перекрестке на выезде из села Романовка на южной окраине Ирпени. Российские подразделения в этом районе отсутствуют.

Так что с высокой долей вероятности Брент Рено и его коллеги стали жертвой бойцов территориальной обороны, которые заподозрили в журналистах диверсантов.
#Киев #США #Украина
@rybar

*Поддержать нас: 4377 7278 0407 7977",0,russia,0,0,1,1,0,0,0.5,3,,
126479,"«Я дочери объясняла, что на нас могут, несмотря на защиту полиции, напасть. Она сказала: «Я их не боюсь: русские никого не боятся».

Светлана, на чью семилетнюю дочь напали во время автопробега в Афинах, рассказала RT подробности случившегося.

«В переулке по двум сторонам стояло, наверное, по 50 человек, в основном мужчины. Мы остановились, они стали идти в сторону машины, чтобы отобрать флаг российский там, где сидела дочка, стали выдирать у неё из рук.

Они вырвали его, разбили стекло этим же флагом и ударили её древком по руке. С другой стороны у нас вырвали греческий флаг и второе стекло разбили.

Тот, которого я запомнила, человек разговаривал на русском языке. Они кричали: «Слава Украине!» — говорит мама девочки.

Семья уже обратилась в полицию и российское посольство.

@rt_russian",1,russia,0,0,0.5,0.5,0,0,0,2,,
576821,Харьков встречает российских фашистов.,0,ukraine_russian,0,0,1,1,0,0,0.5,3,,
827775,"Зведення Генштабу: Окупанти намагаються прорвати оборону біля Києва

Джерело: Генштаб
Біля Києва росіяни намагаються прорвати оборону з північного заходу та сходу, щоб взяти під контроль ключові автошляхи та населені пункти, їх стримують українські війська.

На Донецькому та Луганському напрямках ЗСУ відбили 5 атак ворога. Знищено 2 ворожі танки, бойову машину піхоти та автомобіль. Також противник мав втрати у живій силі.

На Харківщині тривають оборонні бої в районах населених пунктів Топольське, Кам’янка, Суха Кам’янка.

На півдні основні зусилля Сил оборони – на обороні Кривого Рогу, Запоріжжя та Миколаєва, утриманні частин морського узбережжя, охороні та обороні об’єктів критичної інфраструктури.
Зазначається, що ЗСУ стримують просування ворога у напрямках населених пунктів Гуляйполе та Запоріжжя.

На Авдіївському напрямку ЗСУ відбивають штурм окупантів в районі населеного пункту Верхньоторецьке.

На Волинському та Сіверському напрямках продовжуються оборонні операції. Обстановка контрольована, суттєвих змін не зазнала.",0,ukraine_ukrainian,0.5,0,1,0,1,0,0.5,3,,
506885,"«Русский корабль иди нахуй» по-грузински.

👉 Хуевый Днепр / Прислать новость / Новый Инстаграм",0,ukraine_russian,0,1,0,0,0,0,0.5,3,,
704726,"🇷🇺 Бучанські кати: журналісти ідентифікували російських злочинців, які чинили військові злочини в Бучі

Журналісти проєкту ""Слідство.Info"" ідентифікували деяких окупантів зі 155-ї бригади морської піхоти Тихоокеанського флоту Росії. За даними українських військових, ця бригада безпосередньо вчиняла воєнні злочини та геноцид в районі Бучі, Ірпеня та Гостомеля. 155-ї бригада - з Владивостоку, тобто окупанти проїхали девʼять тисяч кілометрів, перетнули весь континент, щоб вбивати та гвалтувати українців.

Дивитися - censor.net/ua/n3331299",0,ukraine_ukrainian,0,0,1,1,0,0,0.5,3,,
45428,⚡️При обычном развитии событий киевские власти не будут никогда выполнять минские договоренности — Козак,0,russia,0,0,0,0,0,0,0,3,,
827132,"Ще одна погана новина для московії.

Колумбія наростить видобуток енергоресурсів

Влада Колумбії обіцяє допомогти західним країнам частково або повністю відмовитися від імпорту російських енергоресурсів, замінивши їх на колумбійські. Для цього в країні буде збільшено видобуток нафти, вугілля та газу.

Президент Колумбії Іван Дуке назвав російське вторгнення до України геноцидом.",0,ukraine_ukrainian,0,1,0,0,0,0,0.5,3,,
4876,"Минобороны России: Киев своим отказом на гуманитарные предложения по Мариуполю показал полное безразличие к человеческим жизням.

Российские военные сообщают, что Киев отдал нацбатальонам указание покидать Мариуполь небольшими группами под видом мирных жителей.

Так, на выезде из города были задержаны неонацисты из батальона ""Азов"" (против его боевиков в России возбуждено уголовное дело), которые пытались покинуть город, прикрываясь детьми, родителей которых они убили.",0,russia,0,0,1,1,0,0.5,0.5,3,,
680692,"Ситуація в Миколаєві, евакуація людей зі звільнених сіл області до міста, небо над Україною та наша боротьба проти російських окупантів.

Про це говорить не лише Україна, а увесь світ.

Про це я сьогодні розповів в ефірі ""One World"" на CNN.",1,ukraine_ukrainian,0,0,0,0,0,0,0,3,,
40294,"Песков в эфире CNN: российские военные не наносят удары по гражданским целям, целью спецоперации не является ""оккупация Украины""",0,russia,0,0,0,0,0,0,0,3,,
326626,"Кто из украинских чиновников все эти 8 лет вёл бизнес в России? Кто из светских героинь уехал из России навсегда? Кто из русских олигархов спонсировал батальон «Азов»? Какие предприятия сбежавших казнокрадов национализируют в первую очередь? И кто въедет в опустевшие дома на Рублевке?

В эти дни главный по компромату — канал «Небожена». Легендарный канал, который когда-то опубликовал список всех чиновников с двойным гражданством, загадочный инсайдер, который мочит элиту 24/7. 

Подписаться тут @imnotbozhena",0,russia,0,0,0,0,0,0,0,3,,
376738,"Пошли вбросы о том, что Россия расценила уход НАТО из Афганистана как «зеленый свет» для вторжения на Украину, а Китай расценивает американскую пассивность по Украине как «одобрение» для захвата Тайваня.

Мол, несмотря на официальную позицию Белого дома, это реальность, с которой столкнулись США",0,russia,0,0,0,0,0,0,0,3,,
503721,"В Днепропетровской области выявили 5 человек, которые могли угрожать нацбезопасности Украины

📌6 апреля в Новомосковске сотрудники полиции задержали двух жителей Киевской области, которые вели пророссийскую переписку и высказывались в поддержку военных действий РФ.

📌В Кривом Роге был обнаружен мужчина, распространявший российскую пропаганду, а в Павлограде – женщину, которая переписывалась с военными незаконных вооруженных формирований так называемой ДНР.

📌Еще одного сторонника ""русского мира"" за прошлые сутки задержал полицейский на блокпосту.",0,ukraine_russian,0,0,0,0,0,0,0,3,,
402673,"Джо Байден о войне в Украине: 

«Спустя два месяца после того, как путин начал неспровоцированное и неоправданное нападение на Украину, Киев все еще стоит. Президент Зеленский и его демократически избранное правительство остаются у власти. Мы продолжим поддерживать украинцев в их борьбе за защиту своей родины»

ТРУХА⚡️Украина | Прислать новость",0,ukraine_russian,0,0,0,0,0,0,0,3,,
711565,"Телеканал РАДА - эталон журналистики и соблюдения стандартов BBC. Но это не точно. Вернее, с точностью до наоборот. 

Только что в эфире Рады показали сбалансированную позицию канала - двое слуг, Вениславский и Камельчук, обсуждают Порошенко. Больше никаких представителей других партий. Две головы - одна позиция. Особенно мило смотрится, когда юрист Вениславский называет Порошенко олигархом, а журналист ему говорит, что пока нет реестра олигархов, поэтому нельзя пока называть никого олигархом. И после этого Вениславский говорит, что Порошенко внесут в реестр. Уверен? Заранее? Так может будет честно тогда назвать этот закон ""Законом против Порошенко"". То, что я вижу, называется баналтная манипуляция информацией и геббельсощина. И Рада стала таким же пропагандистским каналом, как и российские телеканалы. Мерзко. 

PS А потом, когда власть сменится, эти журналисты будут выходить в эфир и просить прощения за подачу информации. Это уже было в истории Украины. И не один раз.",0,ukraine_russian,0,0,0,0,0,0,0.5,2,"1, 1","Fedir Venislavskyi, Yuriy Kamelchuk"
180556,"❗️«Япония поднимает вопрос возвращения Курил, так как эти острова оккупированы Россией и это противоречит международному праву, как и нападение РФ на Украину» – заявили в МИД Японии",0,russia,0,0,0,0,0,0,0,3,,
538640,"Депутат Изюмского горсовета от ОПЗЖ Анатолий Фомичевский провёл в город российских оккупантов, показав им незащищённую дорогу.

Труха⚡️Днепр
Прислать новость 📸",0,ukraine_russian,0,0,0,0,0,0,0,3,,
381308,"⚡️❗️ Путин на совещании с членами Совбеза предложил обменяться информацией по текущим событиям и предоставил слово Шойгу:

— Шойгу предложил Путину передать ДНР и ЛНР трофейные ПЗРК, ПТУР, а также танки и стрелковое оружие

— С Ближнего Востока поступило около 16 тысяч заявок на добровольное участие в спецоперации в ДНР и ЛНР

— Путин поддержал предложение Шойгу передать трофейное западное вооружение республикам Донбасса

— Добровольцам с Ближнего Востока, которые готовы помочь России на Украине, нужно помочь добраться в зону боевых действий.

@opersvodki",0,russia,0,0,0,0,0,0,0,3,,
585540,"❗️Кива больше не народный депутат Украины - УП

Верховная Рада Украины лишила Илью Киву мандата народного депутата.335 голосов ""за"" его исключение"".

Также депутаты Игорь Абрамович, Татьяна Плачкова, Александр Фельдман и Вадим Столар написали заявление про их выход из депутатской фракции ОПЗЖ.

Инсайдер UA  | Подписаться",0,ukraine_russian,0,0,0,0,0,0,0,3,,
53311,"Сборная Польши по футболу отказывается проводить стыковой матч отбора к чемпионату мира 2022 года против сборной России из-за ситуации на Украине — глава Польского футбольного союза.

Мы должны играть с Польшей в стыках (матч 24 марта) за право поехать на Чемпионат мира.",1,russia,0,0,0,0,0,0,0,3,,
586937,"⚡️211 украинских школ было разрушено с момента российского вторжения на территорию Украины - Шкарлет.

Инсайдер UA  | Прислать новость",0,ukraine_russian,0,0,0,0,0,0,0,3,,
116378,"Новый комментарий Пескова:

Об ударе украинских военных по нефтебазе в Белгороде:

— По Белгороду президенту доложено. И МЧС туда отправилось, и все предпринимается, чтобы организовать цепочки по снабжению топливом.

Безусловно, это не то, что можно воспринимать как создание комфортных условий для продолжения переговоров.

О возможности изменения решения продавать российский газ только за рубли:

— Возможно, если наступят иные условия. Нет ничего железобетонного, но в нынешних условиях рубли являются для нас наиболее предпочтительными и надёжными.

О резком высказывании Депардьё в отношении Путина:

— Депардьё, скорее всего, не полностью понимает, что происходит. В силу того, что он не совсем погружён в политическую повестку дня, не понимает, что произошло на Украине в 2014 году, не понимает, что такое Минские договорённости, что такое Донецк и Луганск. Вряд ли он понимает, что такое бомбёжки мирных людей, вряд ли знает о нацэлементах. Мы при необходимости будем готовы всё ему сказать и объяснить, если он захочет. 

О весеннем призыве в Российскую армию:

— Что касается нового призыва, то мы слышали заявления наших военных о том, что никоим образом это не может иметь какого-то отношения к спецоперации на Украине. Срочники туда не направляются, не призываются.",2,russia,0.5,0,0,0,1,0.5,0.5,2,,
498033,"⚡️128 окрема гірсько-штурмова Закарпатська бригада показала, як майстерно палить танки рашистів

Танк маневрував біля лісопосадки і готувався вдарити по наших позиціях. Але захисники не дали йому навіть оговтатись і накрили танк артилерією. 

Щоб влучити у танк на відстані декількох кілометрів потрібна неймовірна майстерність, яку і володіють наші воїни. 

Доброго вечора, ми з України | Підписатись",2,ukraine_ukrainian,0,1,1,1,1,0,1,3,,
751909,"Потери Украины за месяц войны с Россией составили около $565 млрд, — Шмыгаль

Украинский премьер считает, что несмотря на потери Украины, после окончания войны страна будет быстро восстанавливаться за счет замороженных российских средств и имущества, а также западных партнеров.",0,ukraine_russian,0,0,0,0,0,0,0,3,,
117088,"Очевидцы публикуют в сети это видео и пишут, что российские вертолёты уничтожают украинские военные объекты в районе города Попасной.",0,russia,0,0,0,0,0,0,0,3,,
143586,"⚡️Украинские СМИ прогнозируют «вечное военное положение»

«Война де-факто есть, де-юре её нет», - пишут украинские ТГ. «Официально войны с Россией не будет, но будет вечно военное положение. Сейчас, как мы ранее и предполагали, Зеленский внес в Раду законопроект о продлении военного положения в Украине»

Мы уже много раз писали, что объявить войну России – значит для Украины стать субъектной и отказаться платить по долгам Западу. Этого не будет, поскольку и Зеленский, и весь марионеточный режим Запад держит за одно место, и очень крепко. Они зависимы ВО ВСЁМ! 

Конечно, Киев просто не мог не объявить войну России после пересечения войск РФ границ пока еще Украины. Но так могут себе позволить вести себя только суверенные государства, коим Украина не является. А если бы Украина была суверенным государством – вопроса проведения СВО вообще не было бы на повестке дня в Москве!",0,russia,0,1,0.5,0,0,1,0.5,2,,
641,"Эвакуированная жительница Мариуполя рассказала, как российские военные освободили ее и еще более 140 человек, после того как они провели почти два месяца в одном из подвалов ""Азовстали""",0,russia,0,0,0,0,0,0,0,3,,
694459,"90 детей погибли и более 100 ранены в результате вооруженной агрессии РФ по состоянию на утро 14 марта 2022 года, сообщил Офис Генерального прокурора Украины. 

В сообщении уточняется, что больше всего пострадавших в Киевской, Харьковской, Донецкой, Черниговской, Сумской, Херсонской, Николаевской и Житомирской областях.",0,ukraine_russian,0,0,0,0,0,0,0,3,,
254763,"Чрезвычайно интересная информация о том, что украинские пилоты отправились в Польшу, чтобы получить самоелты МиГ-29 из польских запасов еще советского наследия. Вопрос один - каким образом будет действовать эта авиация с польских аэродромов, учитывая что Россия закрыла небо над Украиной, а инфраструктура Воздушных сил (бывшие ВВС) Украины выведена из строя, о чем доложили в Минобороны России. Видимо, актуален очередной мониторинг ОТРК ""Искандер"" всех ввп киевского режима особенно на западном и черниговском направлениях, а также под Днепропетровском. Это, кстати, исключит и использование противником БПЛА ""Байрактар"" с учетом взятия под контроль автотрасс, способных стать ввп для такого рода летательных аппаратов.                                   
                                                                                                                                                                                                                                                                                                                                                                                      @voenkorKotenok",0,russia,0,0,1,0,1,0.5,0.5,3,,
342011,"Диверсионная группа  ВСУ подобралась к границе и попыталась обстрелять Белгород

Под Белгородом со стороны украинской границы упали снаряды, выпущенные диверсионной группой ВСУ. Обошлось без разрушений и жертв, на месте падения боеприпасов работают экстренные службы.",0,russia,0,0,0,0,0,0,0,3,,
265398,"""Прогнозировать сейчас любые варианты будущего - это упражнение на тренировку фантазии"".

Поговорили с предпринимателями о том, какие проблемы жду российский бизнес после обострения конфликта на Украине и введения санкций.

https://bbc.in/3pcuHUX",0,russia,0,0,0,0,0,0,0,3,,
76768,"❗️Все зависит от действий официального Киева

Дмитрий Козак",0,russia,0,0,0,0,0,0,0,3,,
565631,"😳 Власти Китая выступают за то, чтобы США и НАТО вели диалог с Россией как по ситуации на Украине, так в целом по теме безопасности, МИД КНР Лэ Юйчэн

💬 «Несложно спрогнозировать последствия движения в таком направлении. Кризис в Украине — это предупреждение как раз об этом», — подчеркнул замглавы МИД Китая.

Киев — прямая трансляция 👈
Прислать новость",0,ukraine_russian,0,0,0,0,0,0,0,3,,
828571,"10 березня бомбардувальна та штурмова авіація Повітряних Сил, при вогневій підтримці вертольотів армійської авіації Сухопутних військ Збройних Сил України, завдала нищівного удару по двох великих колонах техніки російських фашистських окупантів

За попередньої інформацією – це цілий полк десантних військ рф із повним комплектом техніки: танки, БМП, «Гради» та ін.

Також 10 уражень повітряних цілей окупантів.

Командування Повітряних Сил ЗСУ",0,ukraine_ukrainian,0,0,1,1,0,0,0.5,3,,
334384,"В Кремле обратили внимание на заявление о готовности Владимира Зеленского к переговорам о нейтральном статусе Украины, сказал Дмитрий Песков. «Считаем это движением в сторону позитива», — отметил пресс-секретарь президента России.",0,russia,0,0,0,0,0,0,0,3,,
1235,"Минобороны России сообщило, что 9 марта в Херсонской области разведчики нашли три беспилотника с 30-литровыми емкостями и оборудованием для распыления рецептур.

По данным ведомства, в январе Украиной через посреднические организации было закуплено более 50 подобных устройств, которые могут быть использованы для применения биологических рецептур и токсичных химикатов.",0,russia,0,0,1,0,0,0,0.5,2,,
469496,"⚡️Голова МЗС Дмитро Кулеба: Важко повірити, що ООН могла б запровадити таку саму цензуру, як Кремль зараз в Росії, заборонивши використання слів ""війна"" та ""вторгнення"" серед співробітників ООН. 

Раніше низка західних ЗМІ повідомили, що ООН заборонила своїм співробітникам використовувати ці слова для опису дій Росії в Україні. Замість цього рекомендується називати війну ""конфліктом"" або ""військовим наступом"". За даними журналістів, також співробітникам заборонили використовувати український прапор у особистих або офіційних облікових записах у соцмережах або на веб-сайтах. Така політика спрямована на уникнення ""репутаційного ризику""

Кулеба закликав ООН швидко спростувати такі повідомлення, якщо вони неправдиві: ""На кону репутація ООН"".",0,ukraine_ukrainian,0,0,0,0,0,0,0,3,,
